,X1-X2,X1-X3,X1-X4,X2-X3,X2-X4,X3-X4
115,138.450401665,198.390778452,318.451846303,227.363200419,369.425607577,186.413063643
116,133.991681772,63.8910140366,257.024721506,96.6483397193,302.081486614,134.116947845
117,68.7661854015,199.213151769,221.750027215,194.131711835,240.727952525,193.26649468
118,94.3341671089,301.592190121,256.069747901,303.499178342,262.364862186,133.266121519
119,146.521417138,218.853278265,141.927556593,236.464492096,214.857687513,136.570678662
120,85.4566438587,133.064044169,162.328802466,150.43496732,212.002543006,132.443193822
121,52.3667114495,70.2703265588,220.092051175,95.0290024205,262.957987244,188.642510453
122,143.465784757,92.8216191912,136.228648227,140.607910428,143.379853208,146.014127639
123,96.331318784,192.662913945,198.152393783,196.562410353,181.074486206,189.745078211
124,77.4945610127,130.21496346,194.832528617,153.647150784,178.642236462,107.002113423
125,42.5000139694,175.776412967,214.330773856,238.103660593,290.05849209,183.176391625
126,66.1681279287,320.569934953,148.392079626,419.206742499,196.923765797,259.852228851
127,67.3408627773,132.232161853,273.135867017,139.005088512,362.98607071,147.006701757
128,153.953840303,253.152885709,244.790266791,242.580846477,269.579937791,161.586427426
129,77.7113378997,222.544242613,173.626680407,273.852244356,229.269268281,115.17927677
130,59.50876874,177.369358912,160.303998933,172.757983447,179.656556986,144.189810297
131,120.386499767,202.850595176,111.951715473,194.207894732,136.851037871,154.179982168
132,60.0759783353,153.942583526,201.638272683,219.258271063,225.036264873,179.10457551
133,69.237984333,129.340577991,147.050279138,121.745636551,142.130478359,129.364853223
134,225.613668762,167.730040485,218.270723352,201.833386165,238.801527814,127.592655458
135,55.9047812267,407.895022676,307.887527026,473.58747694,307.066234646,275.988086366
136,32.7629613827,166.776248522,192.332274464,288.526977991,223.922591918,140.902946405
137,178.988473766,169.939876236,204.958889089,189.68511176,188.731288627,123.703298801
138,113.303018782,80.0665240448,192.904404738,157.468410551,194.131071915,79.1289112121
139,27.6921894441,161.522909884,170.615652149,183.50056521,154.144532568,119.281574495
140,15.6126277426,239.768857581,302.007685368,212.914133549,341.394333817,188.721289386
141,153.668587364,161.897770231,152.339422058,185.632196515,158.062367345,146.526327792
142,86.8088857274,539.913250241,134.038751919,576.937444711,212.788784597,187.716343056
143,165.630748037,146.895467611,293.974529203,237.043519161,289.868903068,151.98300421
144,96.9646863332,145.932325271,218.548985696,216.806418987,163.003888874,158.088282575
145,52.6320670518,332.230731632,212.574849104,378.790141205,227.089403751,182.572987098
146,69.9591187446,123.753920943,164.492906353,121.081209428,222.488199092,152.145962401
147,35.5337120064,217.118612841,167.299907491,233.821972503,169.577932003,79.9236369796
148,97.3064401219,187.41912911,258.541004766,188.098504186,287.657482628,160.584766968
149,108.660831758,211.315715651,291.242775818,221.55654257,366.849890824,217.55550663
150,59.2971322908,296.01652609,196.234150312,315.644050557,222.984775374,188.421484644
151,75.5701880954,238.283242514,272.220552476,195.721750794,273.143618688,144.157846651
152,70.2187021854,196.344282137,205.132893193,220.99408749,223.817972304,154.866795646
153,242.109912864,275.764245913,253.205982255,385.632142196,359.177882504,235.951175534
154,138.084179529,118.750152301,124.99867428,117.741485405,121.709619431,157.089209047
155,96.1306119424,233.621075424,122.323453306,267.516280716,130.702529459,125.021742193
156,103.709820308,160.371234809,285.720316153,179.707426344,332.328012517,142.778508459
157,129.589300556,155.705025912,214.630199097,290.689293508,255.147729941,111.821010764
158,97.4955663819,345.549142962,62.8101942666,359.393571402,91.0178066164,100.488471545
159,50.8663373236,180.801402922,140.148667456,187.699364211,140.185324345,124.560381282
160,97.599443423,118.011649515,211.067181017,130.168470753,249.958216094,119.062674075
161,86.8850582766,133.717838972,170.036480409,148.07902771,215.086247272,104.051945227
162,66.4214525072,261.332320986,329.119308173,312.001031192,275.704438863,211.037144868
163,143.86545984,248.077706927,202.886752052,253.696385459,214.059152831,158.567797683
164,101.031776048,285.102955025,105.480576198,273.114135711,112.496038965,135.388102967
165,75.8393859519,261.544879848,222.158743617,328.792397747,244.431587087,163.332414268
166,90.5030634103,233.980075088,106.523591539,293.659860475,129.080238845,182.735443622
167,237.936524956,107.552362498,164.31441347,137.861349373,223.340954057,104.526956967
168,153.036460748,216.273403658,201.762016238,286.836769907,259.095910284,218.304405266
169,95.6413413261,404.068658403,195.477641771,441.506107458,191.010497781,200.568420696
170,149.311032981,207.443681897,119.614720462,233.783463456,124.99708692,85.0558335213
