,X1,X2,X3,X4
306,212.853518018,7.4828649132,243.050608091,554.009723426
307,85.6001026561,6.95525729352,243.997571461,256.361449371
308,337.040167519,490.704100096,217.373872583,582.108546115
309,140.970785128,28.2462470652,391.143812885,532.193951942
310,309.89201111,144.344565367,312.922429067,515.422969618
311,301.671425395,259.154778709,230.473021164,613.714989439
312,521.589325025,177.21436545,369.681249531,302.833062559
313,58.1171955937,3.0276671537,212.494352881,661.485356021
314,231.194983937,217.219945466,284.032122226,530.708255029
315,350.239921733,187.333912935,184.057187858,585.41234423
316,256.434367538,298.95172983,326.179019453,410.37680791
317,151.022638287,75.1563797404,320.280593781,616.548709031
318,265.730578018,195.777760584,345.923745492,879.236625103
319,214.342557236,33.4175529969,249.787595741,429.311446706
320,157.329108012,91.6734633293,463.423374222,389.533314887
321,146.787936807,162.95752229,369.418399913,503.659108473
322,245.899503055,85.673648489,440.670545163,307.288880051
323,236.193757232,99.3381289072,319.056229402,475.669366143
324,239.345858127,170.482480789,242.553801676,449.158883333
325,109.421085357,36.0351800748,357.810321666,354.075112357
326,454.948928005,136.290774573,355.432970522,472.637725853
327,96.2720502837,101.820467339,552.462609406,381.351222796
328,377.064952603,193.533885422,506.110104533,700.054428233
329,223.129628368,321.226478062,339.79507598,928.957858321
330,276.578603363,113.719517254,230.233855788,241.680088787
331,190.470213335,278.781245181,462.493930418,425.822646525
332,130.966168058,231.631440847,505.608512075,498.727132099
333,63.7683894612,22.7711377708,231.904834731,203.179940487
334,203.657838646,158.762411033,518.807066377,314.499103234
335,229.912144715,106.952804044,332.644256753,651.790210826
336,422.739533571,364.57284143,232.35582857,543.195525564
337,305.907071191,297.585317418,219.486696123,449.81195845
338,155.029041051,49.5112623283,302.742820204,581.627988497
339,225.656043826,20.5453787697,516.253615816,529.198902257
340,288.251283493,87.863516414,189.736181322,457.933192708
341,129.463834401,44.6533592828,498.640672438,372.52263702
342,201.31950585,113.461190069,555.664025832,533.413379446
343,106.804565838,120.289284047,623.250546631,850.684383554
344,299.216949657,333.904222746,289.478599339,607.411717941
345,105.398538972,29.4188441072,269.89630172,416.711786071
346,484.806208632,355.533877977,298.243893569,979.679956457
347,130.49868086,28.4116463549,254.532787264,449.281865957
348,274.469705438,543.816152825,415.711036545,496.796633769
349,252.011176061,68.3241171896,522.008759095,634.14927579
350,228.847754687,410.727741945,492.897738119,404.333110374
351,341.03888449,264.431712008,300.90450668,841.620406823
352,155.90796627,102.804129194,382.689730992,478.591033578
353,272.332071416,102.148752315,474.215885481,551.580440013
354,83.7819272002,61.7736196074,414.629844784,180.185469161
355,121.325810111,29.0443018951,359.706031398,378.102509854
356,134.857590167,179.91827346,200.994435254,710.417251585
357,321.799342413,197.980329558,334.089502751,406.773233582
358,191.061813314,183.175322931,327.791482214,653.410773943
359,70.7255546071,7.3147999648,626.746045202,501.669665941
360,127.460450075,113.267955313,185.997922836,389.430792784
